station_name,date,latitude,longitude,month,pressure_sea_level_hpa,pressure_station_hpa,province,rain_mm,snow_mm,temp_max__temp_max,temp_mean__temp_moyenne,temp_min__temp_min,total_precip__precip_totale,wind_speed_kph,year
Edmonton,1880-01-01,53.3,-113.6,1,,,AB,,,,,,,,1880
Edmonton,1880-02-01,53.3,-113.6,2,,,AB,,,,,,,,1880
Edmonton,1880-03-01,53.3,-113.6,3,,,AB,,,,,,,,1880
Edmonton,1880-04-01,53.3,-113.6,4,,,AB,,,,,,,,1880
Edmonton,1880-05-01,53.3,-113.6,5,,,AB,,,,,,,,1880
Edmonton,1880-06-01,53.3,-113.6,6,,,AB,,,,,,,,1880
Edmonton,1880-07-01,53.3,-113.6,7,,,AB,,,,,,,,1880
Edmonton,1880-08-01,53.3,-113.6,8,,,AB,,,16.9,11.6,6.2,,,1880
Edmonton,1880-09-01,53.3,-113.6,9,,,AB,,,15.0,8.5,1.9,,,1880
Edmonton,1880-10-01,53.3,-113.6,10,,,AB,,,9.8,4.4,-1.2,,,1880
Edmonton,1880-11-01,53.3,-113.6,11,,,AB,,,-2.2,-6.1,-9.9,,,1880
Edmonton,1880-12-01,53.3,-113.6,12,,,AB,,,-16.6,-21.8,-27.1,,,1880
Edmonton,1881-01-01,53.3,-113.6,1,,,AB,,,-12.4,-17.1,-21.7,,,1881
Edmonton,1881-02-01,53.3,-113.6,2,,,AB,,,-9.2,-14.1,-18.8,,,1881
Edmonton,1881-03-01,53.3,-113.6,3,,,AB,,,3.6,-1.0,-5.5,,,1881
Edmonton,1881-04-01,53.3,-113.6,4,,,AB,,,8.1,3.0,-2.2,,,1881
Edmonton,1881-05-01,53.3,-113.6,5,,,AB,,,15.1,8.4,1.7,,,1881
Edmonton,1881-06-01,53.3,-113.6,6,,,AB,,,18.2,12.3,6.2,,,1881
Edmonton,1881-07-01,53.3,-113.6,7,,,AB,,,,,,,,1881
Edmonton,1881-08-01,53.3,-113.6,8,,,AB,,,,,,,,1881
Edmonton,1881-09-01,53.3,-113.6,9,,,AB,,,12.5,7.2,1.9,,,1881
Edmonton,1881-10-01,53.3,-113.6,10,,,AB,,,4.8,0.1,-4.6,,,1881
Edmonton,1881-11-01,53.3,-113.6,11,,,AB,,,-2.0,-5.4,-8.9,,,1881
Edmonton,1881-12-01,53.3,-113.6,12,,,AB,,,-3.6,-7.6,-11.6,,,1881
Edmonton,1882-01-01,53.3,-113.6,1,,,AB,,,-8.1,-13.5,-18.9,,,1882
Edmonton,1882-02-01,53.3,-113.6,2,,,AB,,,-5.2,-12.0,-18.7,,,1882
Edmonton,1882-03-01,53.3,-113.6,3,,,AB,,,-5.0,-10.5,-15.9,,,1882
Edmonton,1882-04-01,53.3,-113.6,4,,,AB,,,8.2,,,,,1882
Edmonton,1882-05-01,53.3,-113.6,5,,,AB,,,16.1,9.1,2.2,,,1882
Edmonton,1882-06-01,53.3,-113.6,6,,,AB,,,20.0,13.7,7.2,,,1882
Edmonton,1882-07-01,53.3,-113.6,7,,,AB,,,21.4,15.1,8.7,,,1882
Edmonton,1882-08-01,53.3,-113.6,8,,,AB,,,22.1,15.1,8.0,,,1882
Edmonton,1882-09-01,53.3,-113.6,9,,,AB,,,15.9,8.8,1.5,,,1882
Edmonton,1882-10-01,53.3,-113.6,10,,,AB,,,3.3,0.6,-2.2,,,1882
Edmonton,1882-11-01,53.3,-113.6,11,,,AB,,,-1.9,-6.2,-10.5,,,1882
Edmonton,1882-12-01,53.3,-113.6,12,,,AB,,,-7.9,-13.0,-18.1,,,1882
Edmonton,1883-01-01,53.3,-113.6,1,,,AB,0.0,34.6,-15.7,-20.4,-25.1,34.6,,1883
Edmonton,1883-02-01,53.3,-113.6,2,,,AB,0.0,17.8,-8.6,-14.2,-19.8,17.8,,1883
Edmonton,1883-03-01,53.3,-113.6,3,,,AB,9.7,27.0,-0.1,-4.8,-9.5,36.7,,1883
Edmonton,1883-04-01,53.3,-113.6,4,,,AB,3.3,0.0,9.9,3.4,-3.1,3.3,,1883
Edmonton,1883-05-01,53.3,-113.6,5,,,AB,13.8,1.5,14.6,7.8,1.0,15.2,,1883
Edmonton,1883-06-01,53.3,-113.6,6,,,AB,50.3,0.0,19.6,12.5,5.3,50.3,,1883
Edmonton,1883-07-01,53.3,-113.6,7,,,AB,58.6,0.0,22.0,13.9,5.7,58.6,,1883
Edmonton,1883-08-01,53.3,-113.6,8,,,AB,6.5,0.0,21.2,14.0,6.8,6.5,,1883
Edmonton,1883-09-01,53.3,-113.6,9,,,AB,0.0,0.0,16.4,8.5,0.6,0.0,,1883
Edmonton,1883-10-01,53.3,-113.6,10,,,AB,31.0,0.0,,,,31.0,,1883
Edmonton,1883-11-01,53.3,-113.6,11,,,AB,0.0,5.6,-6.6,-11.3,-16.0,5.6,,1883
Edmonton,1883-12-01,53.3,-113.6,12,,,AB,0.3,5.9,-8.6,-12.5,-16.5,6.2,,1883
Edmonton,1884-01-01,53.3,-113.6,1,,,AB,0.0,14.0,-9.2,-14.0,-18.7,14.0,,1884
Edmonton,1884-02-01,53.3,-113.6,2,,,AB,0.0,12.8,-12.7,-18.7,-24.6,12.8,,1884
Edmonton,1884-03-01,53.3,-113.6,3,,,AB,0.0,13.3,0.3,-5.3,-11.0,13.3,,1884
Edmonton,1884-04-01,53.3,-113.6,4,,,AB,19.0,8.0,9.5,3.1,-3.2,26.9,,1884
Edmonton,1884-05-01,53.3,-113.6,5,,,AB,33.5,5.7,19.8,10.8,1.8,39.2,,1884
Edmonton,1884-06-01,53.3,-113.6,6,,,AB,108.4,0.0,19.9,12.8,5.6,108.4,,1884
Edmonton,1884-07-01,53.3,-113.6,7,,,AB,79.6,0.0,21.0,13.5,6.0,79.6,,1884
Edmonton,1884-08-01,53.3,-113.6,8,,,AB,30.3,0.0,21.1,13.5,5.8,30.3,,1884
Edmonton,1884-09-01,53.3,-113.6,9,,,AB,68.1,0.0,13.5,6.8,0.0,68.1,,1884
Edmonton,1884-10-01,53.3,-113.6,10,,,AB,1.3,0.2,8.0,2.1,-3.9,1.5,,1884
Edmonton,1884-11-01,53.3,-113.6,11,,,AB,0.0,14.2,1.9,-2.6,-7.1,14.2,,1884
Edmonton,1884-12-01,53.3,-113.6,12,,,AB,0.0,19.9,-13.2,-17.3,-21.2,19.9,,1884
