x,y,lat__lat,lon__long,identifier__identifiant,station_id__id_station,period_value__valeur_periode,period_group__groupe_periode,province__province,date,temp_mean__temp_moyenne,temp_mean_units__temp_moyenne_unites,temp_max__temp_max,temp_max_units__temp_max_unites,temp_min__temp_min,temp_min_units__temp_min_unites,total_precip__precip_totale,total_precip_units__precip_totale_unites,rain__pluie,rain_units__pluie_unites,snow__neige,snow_units__neige_unites,pressure_sea_level__pression_niveau_mer,pressure_sea_level_units__pression_niveau_mer_unite,pressure_station__pression_station,pressure_station_units__pression_station_unites,wind_speed__vitesse_vent,wind_speed_units__vitesse_vent_unites
-113.5833,53.3167,53.3167,-113.5833,3012205.1883.01,3012205,Jan,Monthly,AB,1883-01,,C,,C,,C,34.6,mm,0,mm,34.6,mm,,hPa,,hPa,,kph
-113.5833,53.3167,53.3167,-113.5833,3012205.1883.02,3012205,Feb,Monthly,AB,1883-02,,C,,C,,C,17.8,mm,0,mm,17.8,mm,,hPa,,hPa,,kph
-113.5833,53.3167,53.3167,-113.5833,3012205.1883.03,3012205,Mar,Monthly,AB,1883-03,,C,,C,,C,36.7,mm,9.7,mm,27,mm,,hPa,,hPa,,kph
-113.5833,53.3167,53.3167,-113.5833,3012205.1883.04,3012205,Apr,Monthly,AB,1883-04,,C,,C,,C,3.3,mm,3.3,mm,0,mm,,hPa,,hPa,,kph
-113.5833,53.3167,53.3167,-113.5833,3012205.1883.05,3012205,May,Monthly,AB,1883-05,,C,,C,,C,15.2,mm,13.8,mm,1.5,mm,,hPa,,hPa,,kph
-113.5833,53.3167,53.3167,-113.5833,3012205.1883.06,3012205,Jun,Monthly,AB,1883-06,,C,,C,,C,50.3,mm,50.3,mm,0,mm,,hPa,,hPa,,kph
-113.5833,53.3167,53.3167,-113.5833,3012205.1883.07,3012205,Jul,Monthly,AB,1883-07,,C,,C,,C,58.6,mm,58.6,mm,0,mm,,hPa,,hPa,,kph
-113.5833,53.3167,53.3167,-113.5833,3012205.1883.08,3012205,Aug,Monthly,AB,1883-08,,C,,C,,C,6.5,mm,6.5,mm,0,mm,,hPa,,hPa,,kph
-113.5833,53.3167,53.3167,-113.5833,3012205.1883.09,3012205,Sep,Monthly,AB,1883-09,,C,,C,,C,0,mm,0,mm,0,mm,,hPa,,hPa,,kph
-113.5833,53.3167,53.3167,-113.5833,3012205.1883.10,3012205,Oct,Monthly,AB,1883-10,,C,,C,,C,31,mm,31,mm,0,mm,,hPa,,hPa,,kph
-113.5833,53.3167,53.3167,-113.5833,3012205.1883.11,3012205,Nov,Monthly,AB,1883-11,,C,,C,,C,5.6,mm,0,mm,5.6,mm,,hPa,,hPa,,kph
-113.5833,53.3167,53.3167,-113.5833,3012205.1883.12,3012205,Dec,Monthly,AB,1883-12,,C,,C,,C,6.2,mm,0.3,mm,5.9,mm,,hPa,,hPa,,kph
-113.5833,53.3167,53.3167,-113.5833,3012205.1884.01,3012205,Jan,Monthly,AB,1884-01,,C,,C,,C,14,mm,0,mm,14,mm,,hPa,,hPa,,kph
-113.5833,53.3167,53.3167,-113.5833,3012205.1884.02,3012205,Feb,Monthly,AB,1884-02,,C,,C,,C,12.8,mm,0,mm,12.8,mm,,hPa,,hPa,,kph
-113.5833,53.3167,53.3167,-113.5833,3012205.1884.03,3012205,Mar,Monthly,AB,1884-03,,C,,C,,C,13.3,mm,0,mm,13.3,mm,,hPa,,hPa,,kph
-113.5833,53.3167,53.3167,-113.5833,3012205.1884.04,3012205,Apr,Monthly,AB,1884-04,,C,,C,,C,26.9,mm,19,mm,8,mm,,hPa,,hPa,,kph
-113.5833,53.3167,53.3167,-113.5833,3012205.1884.05,3012205,May,Monthly,AB,1884-05,,C,,C,,C,39.2,mm,33.5,mm,5.7,mm,,hPa,,hPa,,kph
-113.5833,53.3167,53.3167,-113.5833,3012205.1884.06,3012205,Jun,Monthly,AB,1884-06,,C,,C,,C,108.4,mm,108.4,mm,0,mm,,hPa,,hPa,,kph
-113.5833,53.3167,53.3167,-113.5833,3012205.1884.07,3012205,Jul,Monthly,AB,1884-07,,C,,C,,C,79.6,mm,79.6,mm,0,mm,,hPa,,hPa,,kph
-113.5833,53.3167,53.3167,-113.5833,3012205.1884.08,3012205,Aug,Monthly,AB,1884-08,,C,,C,,C,30.3,mm,30.3,mm,0,mm,,hPa,,hPa,,kph
-113.5833,53.3167,53.3167,-113.5833,3012205.1884.09,3012205,Sep,Monthly,AB,1884-09,,C,,C,,C,68.1,mm,68.1,mm,0,mm,,hPa,,hPa,,kph
-113.5833,53.3167,53.3167,-113.5833,3012205.1884.10,3012205,Oct,Monthly,AB,1884-10,,C,,C,,C,1.5,mm,1.3,mm,0.2,mm,,hPa,,hPa,,kph
-113.5833,53.3167,53.3167,-113.5833,3012205.1884.11,3012205,Nov,Monthly,AB,1884-11,,C,,C,,C,14.2,mm,0,mm,14.2,mm,,hPa,,hPa,,kph
-113.5833,53.3167,53.3167,-113.5833,3012205.1884.12,3012205,Dec,Monthly,AB,1884-12,,C,,C,,C,19.9,mm,0,mm,19.9,mm,,hPa,,hPa,,kph
-113.5833,53.3167,53.3167,-113.5833,3012205.1885.01,3012205,Jan,Monthly,AB,1885-01,,C,,C,,C,38.6,mm,0,mm,38.6,mm,,hPa,,hPa,,kph
-113.5833,53.3167,53.3167,-113.5833,3012205.1885.02,3012205,Feb,Monthly,AB,1885-02,,C,,C,,C,27,mm,0,mm,27,mm,,hPa,,hPa,,kph
-113.5833,53.3167,53.3167,-113.5833,3012205.1885.03,3012205,Mar,Monthly,AB,1885-03,,C,,C,,C,5,mm,4.8,mm,0.2,mm,,hPa,,hPa,,kph
-113.5833,53.3167,53.3167,-113.5833,3012205.1885.04,3012205,Apr,Monthly,AB,1885-04,,C,,C,,C,10,mm,10,mm,0,mm,,hPa,,hPa,,kph
-113.5833,53.3167,53.3167,-113.5833,3012205.1885.05,3012205,May,Monthly,AB,1885-05,,C,,C,,C,107.8,mm,107.8,mm,0,mm,,hPa,,hPa,,kph
-113.5833,53.3167,53.3167,-113.5833,3012205.1885.06,3012205,Jun,Monthly,AB,1885-06,,C,,C,,C,23.6,mm,23.6,mm,0,mm,,hPa,,hPa,,kph
-113.5833,53.3167,53.3167,-113.5833,3012205.1885.07,3012205,Jul,Monthly,AB,1885-07,,C,,C,,C,92.1,mm,92.1,mm,0,mm,,hPa,,hPa,,kph
-113.5833,53.3167,53.3167,-113.5833,3012205.1885.08,3012205,Aug,Monthly,AB,1885-08,,C,,C,,C,26,mm,26,mm,0,mm,,hPa,,hPa,,kph
-113.5833,53.3167,53.3167,-113.5833,3012205.1885.09,3012205,Sep,Monthly,AB,1885-09,,C,,C,,C,13.5,mm,13.5,mm,0,mm,,hPa,,hPa,,kph
-113.5833,53.3167,53.3167,-113.5833,3012205.1885.10,3012205,Oct,Monthly,AB,1885-10,,C,,C,,C,45.7,mm,0,mm,45.7,mm,,hPa,,hPa,,kph
-113.5833,53.3167,53.3167,-113.5833,3012205.1885.11,3012205,Nov,Monthly,AB,1885-11,,C,,C,,C,0,mm,0,mm,0,mm,,hPa,,hPa,,kph
-113.5833,53.3167,53.3167,-113.5833,3012205.1885.12,3012205,Dec,Monthly,AB,1885-12,,C,,C,,C,33,mm,0,mm,33,mm,,hPa,,hPa,,kph
