x,y,lat__lat,lon__long,identifier__identifiant,station_id__id_station,period_value__valeur_periode,period_group__groupe_periode,province__province,date,temp_mean__temp_moyenne,temp_mean_units__temp_moyenne_unites,temp_max__temp_max,temp_max_units__temp_max_unites,temp_min__temp_min,temp_min_units__temp_min_unites,total_precip__precip_totale,total_precip_units__precip_totale_unites,rain__pluie,rain_units__pluie_unites,snow__neige,snow_units__neige_unites,pressure_sea_level__pression_niveau_mer,pressure_sea_level_units__pression_niveau_mer_unite,pressure_station__pression_station,pressure_station_units__pression_station_unites,wind_speed__vitesse_vent,wind_speed_units__vitesse_vent_unites
-79.4,43.67,43.67,-79.4,6158350.1840.01,6158350,Jan,Monthly,ON,1840-01,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-79.4,43.67,43.67,-79.4,6158350.1840.02,6158350,Feb,Monthly,ON,1840-02,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-79.4,43.67,43.67,-79.4,6158350.1840.03,6158350,Mar,Monthly,ON,1840-03,,C,,C,,C,-9999.9,mm,44.4,mm,-9999.9,mm,,hPa,,hPa,,kph
-79.4,43.67,43.67,-79.4,6158350.1840.04,6158350,Apr,Monthly,ON,1840-04,,C,,C,,C,-9999.9,mm,94.5,mm,-9999.9,mm,,hPa,,hPa,,kph
-79.4,43.67,43.67,-79.4,6158350.1840.05,6158350,May,Monthly,ON,1840-05,,C,,C,,C,111.8,mm,111.8,mm,0,mm,,hPa,,hPa,,kph
-79.4,43.67,43.67,-79.4,6158350.1840.06,6158350,Jun,Monthly,ON,1840-06,,C,,C,,C,130.9,mm,130.9,mm,0,mm,,hPa,,hPa,,kph
-79.4,43.67,43.67,-79.4,6158350.1840.07,6158350,Jul,Monthly,ON,1840-07,,C,,C,,C,141.1,mm,141.1,mm,0,mm,,hPa,,hPa,,kph
-79.4,43.67,43.67,-79.4,6158350.1840.08,6158350,Aug,Monthly,ON,1840-08,,C,,C,,C,79.5,mm,79.5,mm,0,mm,,hPa,,hPa,,kph
-79.4,43.67,43.67,-79.4,6158350.1840.09,6158350,Sep,Monthly,ON,1840-09,,C,,C,,C,37.2,mm,37.2,mm,0,mm,,hPa,,hPa,,kph
-79.4,43.67,43.67,-79.4,6158350.1840.10,6158350,Oct,Monthly,ON,1840-10,,C,,C,,C,53.1,mm,52.6,mm,0.4,mm,,hPa,,hPa,,kph
