x,y,lat__lat,lon__long,identifier__identifiant,station_id__id_station,period_value__valeur_periode,period_group__groupe_periode,province__province,date,temp_mean__temp_moyenne,temp_mean_units__temp_moyenne_unites,temp_max__temp_max,temp_max_units__temp_max_unites,temp_min__temp_min,temp_min_units__temp_min_unites,total_precip__precip_totale,total_precip_units__precip_totale_unites,rain__pluie,rain_units__pluie_unites,snow__neige,snow_units__neige_unites,pressure_sea_level__pression_niveau_mer,pressure_sea_level_units__pression_niveau_mer_unite,pressure_station__pression_station,pressure_station_units__pression_station_unites,wind_speed__vitesse_vent,wind_speed_units__vitesse_vent_unites
-122.8769,49.2517,49.2517,-122.8769,1101200.1926.01,1101200,Jan,Monthly,BC,Jan-26,,C,,C,,C,238.5,mm,238.5,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1926.02,1101200,Feb,Monthly,BC,Feb-26,,C,,C,,C,187.9,mm,187.8,mm,0.1,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1926.03,1101200,Mar,Monthly,BC,Mar-26,,C,,C,,C,69.2,mm,69.2,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1926.04,1101200,Apr,Monthly,BC,Apr-26,,C,,C,,C,102.8,mm,102.7,mm,0.1,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1926.05,1101200,May,Monthly,BC,May-26,,C,,C,,C,151.3,mm,151.3,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1926.06,1101200,Jun,Monthly,BC,Jun-26,,C,,C,,C,31.6,mm,31.6,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1926.07,1101200,Jul,Monthly,BC,Jul-26,,C,,C,,C,5.6,mm,5.6,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1926.08,1101200,Aug,Monthly,BC,Aug-26,,C,,C,,C,79.3,mm,79.3,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1926.09,1101200,Sep,Monthly,BC,Sep-26,,C,,C,,C,122.7,mm,122.7,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1926.10,1101200,Oct,Monthly,BC,Oct-26,,C,,C,,C,213.3,mm,213.3,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1926.11,1101200,Nov,Monthly,BC,Nov-26,,C,,C,,C,218.4,mm,218.4,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1926.12,1101200,Dec,Monthly,BC,Dec-26,,C,,C,,C,256.3,mm,216.2,mm,40,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1927.01,1101200,Jan,Monthly,BC,Jan-27,,C,,C,,C,274.2,mm,225.7,mm,48.5,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1927.02,1101200,Feb,Monthly,BC,Feb-27,,C,,C,,C,140.5,mm,140.4,mm,0.1,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1927.03,1101200,Mar,Monthly,BC,Mar-27,,C,,C,,C,215.4,mm,203.2,mm,12.2,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1927.04,1101200,Apr,Monthly,BC,Apr-27,,C,,C,,C,78,mm,77.9,mm,0.1,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1927.05,1101200,May,Monthly,BC,May-27,,C,,C,,C,127.1,mm,127.1,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1927.06,1101200,Jun,Monthly,BC,Jun-27,,C,,C,,C,38,mm,38,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1927.07,1101200,Jul,Monthly,BC,Jul-27,,C,,C,,C,32.9,mm,32.9,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1927.08,1101200,Aug,Monthly,BC,Aug-27,,C,,C,,C,124.4,mm,124.4,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1927.09,1101200,Sep,Monthly,BC,Sep-27,,C,,C,,C,107.8,mm,107.8,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1927.10,1101200,Oct,Monthly,BC,Oct-27,,C,,C,,C,242.4,mm,242.4,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1927.11,1101200,Nov,Monthly,BC,Nov-27,,C,,C,,C,289.5,mm,281.6,mm,7.9,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1927.12,1101200,Dec,Monthly,BC,Dec-27,,C,,C,,C,172.2,mm,101.5,mm,70.8,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1928.01,1101200,Jan,Monthly,BC,Jan-28,,C,,C,,C,287.7,mm,283.1,mm,4.5,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1928.02,1101200,Feb,Monthly,BC,Feb-28,,C,,C,,C,56.3,mm,55.9,mm,0.4,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1928.03,1101200,Mar,Monthly,BC,Mar-28,,C,,C,,C,243.3,mm,242.1,mm,1.2,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1928.04,1101200,Apr,Monthly,BC,Apr-28,,C,,C,,C,134.6,mm,134.6,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1928.05,1101200,May,Monthly,BC,May-28,,C,,C,,C,50.6,mm,50.6,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1928.06,1101200,Jun,Monthly,BC,Jun-28,,C,,C,,C,62.5,mm,62.5,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1928.07,1101200,Jul,Monthly,BC,Jul-28,,C,,C,,C,48,mm,48,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1928.08,1101200,Aug,Monthly,BC,Aug-28,,C,,C,,C,7,mm,7,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1928.09,1101200,Sep,Monthly,BC,Sep-28,,C,,C,,C,60.9,mm,60.9,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1928.10,1101200,Oct,Monthly,BC,Oct-28,,C,,C,,C,230.1,mm,230.1,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1928.11,1101200,Nov,Monthly,BC,Nov-28,,C,,C,,C,165.5,mm,165.5,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1928.12,1101200,Dec,Monthly,BC,Dec-28,,C,,C,,C,178.5,mm,176.9,mm,1.6,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1929.01,1101200,Jan,Monthly,BC,Jan-29,,C,,C,,C,71.2,mm,28.9,mm,42.4,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1929.02,1101200,Feb,Monthly,BC,Feb-29,,C,,C,,C,73.5,mm,70.4,mm,3.1,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1929.03,1101200,Mar,Monthly,BC,Mar-29,,C,,C,,C,135.9,mm,133.3,mm,2.7,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1929.04,1101200,Apr,Monthly,BC,Apr-29,,C,,C,,C,105.9,mm,101.2,mm,4.6,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1929.05,1101200,May,Monthly,BC,May-29,,C,,C,,C,49.5,mm,49.5,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1929.06,1101200,Jun,Monthly,BC,Jun-29,,C,,C,,C,68.4,mm,68.4,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1929.07,1101200,Jul,Monthly,BC,Jul-29,,C,,C,,C,27,mm,27,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1929.08,1101200,Aug,Monthly,BC,Aug-29,,C,,C,,C,38.4,mm,38.4,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1929.09,1101200,Sep,Monthly,BC,Sep-29,,C,,C,,C,44.3,mm,44.3,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1929.10,1101200,Oct,Monthly,BC,Oct-29,,C,,C,,C,124.7,mm,124.7,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1929.11,1101200,Nov,Monthly,BC,Nov-29,,C,,C,,C,71.2,mm,71.2,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1929.12,1101200,Dec,Monthly,BC,Dec-29,,C,,C,,C,271.8,mm,223.2,mm,48.6,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1930.01,1101200,Jan,Monthly,BC,Jan-30,,C,,C,,C,112.2,mm,105.5,mm,6.7,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1930.02,1101200,Feb,Monthly,BC,Feb-30,,C,,C,,C,298.7,mm,298.7,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1930.03,1101200,Mar,Monthly,BC,Mar-30,,C,,C,,C,115.5,mm,114.1,mm,1.3,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1930.04,1101200,Apr,Monthly,BC,Apr-30,,C,,C,,C,158.5,mm,158.5,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1930.05,1101200,May,Monthly,BC,May-30,,C,,C,,C,88.2,mm,88.2,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1930.06,1101200,Jun,Monthly,BC,Jun-30,,C,,C,,C,76.7,mm,76.7,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1930.07,1101200,Jul,Monthly,BC,Jul-30,,C,,C,,C,2.1,mm,2.1,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1930.08,1101200,Aug,Monthly,BC,Aug-30,,C,,C,,C,2.3,mm,2.3,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1930.09,1101200,Sep,Monthly,BC,Sep-30,,C,,C,,C,111.6,mm,111.6,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1930.10,1101200,Oct,Monthly,BC,Oct-30,,C,,C,,C,210.1,mm,208.9,mm,1.2,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1930.11,1101200,Nov,Monthly,BC,Nov-30,,C,,C,,C,112.7,mm,100.6,mm,12.1,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1930.12,1101200,Dec,Monthly,BC,Dec-30,,C,,C,,C,166.5,mm,166.4,mm,0.1,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1931.01,1101200,Jan,Monthly,BC,Jan-31,,C,,C,,C,345.5,mm,345.5,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1931.02,1101200,Feb,Monthly,BC,Feb-31,,C,,C,,C,180.3,mm,177.4,mm,2.9,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1931.03,1101200,Mar,Monthly,BC,Mar-31,,C,,C,,C,208.4,mm,199.2,mm,9.2,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1931.04,1101200,Apr,Monthly,BC,Apr-31,,C,,C,,C,144.2,mm,144.2,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1931.05,1101200,May,Monthly,BC,May-31,,C,,C,,C,54.8,mm,54.8,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1931.06,1101200,Jun,Monthly,BC,Jun-31,,C,,C,,C,157,mm,157,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1931.07,1101200,Jul,Monthly,BC,Jul-31,,C,,C,,C,16.4,mm,16.4,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1931.08,1101200,Aug,Monthly,BC,Aug-31,,C,,C,,C,14.8,mm,14.8,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1931.09,1101200,Sep,Monthly,BC,Sep-31,,C,,C,,C,236.3,mm,236.3,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1931.10,1101200,Oct,Monthly,BC,Oct-31,,C,,C,,C,161.2,mm,161.2,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1931.11,1101200,Nov,Monthly,BC,Nov-31,,C,,C,,C,242.5,mm,237.5,mm,5,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1931.12,1101200,Dec,Monthly,BC,Dec-31,,C,,C,,C,350.6,mm,336.1,mm,14.5,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1932.01,1101200,Jan,Monthly,BC,Jan-32,,C,,C,,C,285.3,mm,231,mm,54.2,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1932.02,1101200,Feb,Monthly,BC,Feb-32,,C,,C,,C,289.3,mm,279.2,mm,10.1,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1932.03,1101200,Mar,Monthly,BC,Mar-32,,C,,C,,C,315.8,mm,307.9,mm,7.9,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1932.04,1101200,Apr,Monthly,BC,Apr-32,,C,,C,,C,149.3,mm,149.3,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1932.05,1101200,May,Monthly,BC,May-32,,C,,C,,C,33.4,mm,33.4,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1932.06,1101200,Jun,Monthly,BC,Jun-32,,C,,C,,C,77.1,mm,77.1,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1932.07,1101200,Jul,Monthly,BC,Jul-32,,C,,C,,C,141.8,mm,141.8,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1932.08,1101200,Aug,Monthly,BC,Aug-32,,C,,C,,C,40.9,mm,40.9,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1932.09,1101200,Sep,Monthly,BC,Sep-32,,C,,C,,C,69.3,mm,69.3,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1932.10,1101200,Oct,Monthly,BC,Oct-32,,C,,C,,C,173,mm,173,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1932.11,1101200,Nov,Monthly,BC,Nov-32,,C,,C,,C,370.7,mm,370.7,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1932.12,1101200,Dec,Monthly,BC,Dec-32,,C,,C,,C,239.9,mm,235.8,mm,4,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1933.01,1101200,Jan,Monthly,BC,Jan-33,,C,,C,,C,335.1,mm,241.8,mm,93.3,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1933.02,1101200,Feb,Monthly,BC,Feb-33,,C,,C,,C,220.4,mm,191.4,mm,29,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1933.03,1101200,Mar,Monthly,BC,Mar-33,,C,,C,,C,183.8,mm,181.5,mm,2.3,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1933.04,1101200,Apr,Monthly,BC,Apr-33,,C,,C,,C,30,mm,30,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1933.05,1101200,May,Monthly,BC,May-33,,C,,C,,C,143.8,mm,143.8,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1933.06,1101200,Jun,Monthly,BC,Jun-33,,C,,C,,C,70.5,mm,70.5,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1933.07,1101200,Jul,Monthly,BC,Jul-33,,C,,C,,C,42.8,mm,42.8,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1933.08,1101200,Aug,Monthly,BC,Aug-33,,C,,C,,C,49.7,mm,49.7,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1933.09,1101200,Sep,Monthly,BC,Sep-33,,C,,C,,C,178.3,mm,178.3,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1933.10,1101200,Oct,Monthly,BC,Oct-33,,C,,C,,C,261.1,mm,261.1,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1933.11,1101200,Nov,Monthly,BC,Nov-33,,C,,C,,C,161.4,mm,161.4,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1933.12,1101200,Dec,Monthly,BC,Dec-33,,C,,C,,C,399.8,mm,376.5,mm,23.3,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1934.01,1101200,Jan,Monthly,BC,Jan-34,,C,,C,,C,380.6,mm,373,mm,7.6,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1934.02,1101200,Feb,Monthly,BC,Feb-34,,C,,C,,C,107.9,mm,107.9,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1934.03,1101200,Mar,Monthly,BC,Mar-34,,C,,C,,C,175.1,mm,174.8,mm,0.2,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1934.04,1101200,Apr,Monthly,BC,Apr-34,,C,,C,,C,59.8,mm,59.8,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1934.05,1101200,May,Monthly,BC,May-34,,C,,C,,C,109.2,mm,109.2,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1934.06,1101200,Jun,Monthly,BC,Jun-34,,C,,C,,C,16.7,mm,16.7,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1934.07,1101200,Jul,Monthly,BC,Jul-34,,C,,C,,C,73.1,mm,73.1,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1934.08,1101200,Aug,Monthly,BC,Aug-34,,C,,C,,C,33.2,mm,33.2,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1934.09,1101200,Sep,Monthly,BC,Sep-34,,C,,C,,C,88.2,mm,88.2,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1934.10,1101200,Oct,Monthly,BC,Oct-34,,C,,C,,C,180.1,mm,180.1,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1934.11,1101200,Nov,Monthly,BC,Nov-34,,C,,C,,C,297.8,mm,297.8,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1934.12,1101200,Dec,Monthly,BC,Dec-34,,C,,C,,C,400.6,mm,338.1,mm,62.5,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1935.01,1101200,Jan,Monthly,BC,Jan-35,,C,,C,,C,645,mm,553.2,mm,91.8,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1935.02,1101200,Feb,Monthly,BC,Feb-35,,C,,C,,C,116,mm,115.9,mm,0.1,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1935.03,1101200,Mar,Monthly,BC,Mar-35,,C,,C,,C,251.6,mm,231.1,mm,20.5,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1935.04,1101200,Apr,Monthly,BC,Apr-35,,C,,C,,C,73.5,mm,73.4,mm,0.1,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1935.05,1101200,May,Monthly,BC,May-35,,C,,C,,C,23.1,mm,23.1,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1935.06,1101200,Jun,Monthly,BC,Jun-35,,C,,C,,C,46.8,mm,46.8,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1935.07,1101200,Jul,Monthly,BC,Jul-35,,C,,C,,C,58.5,mm,58.5,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1935.08,1101200,Aug,Monthly,BC,Aug-35,,C,,C,,C,43.9,mm,43.9,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1935.09,1101200,Sep,Monthly,BC,Sep-35,,C,,C,,C,84.9,mm,84.9,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1935.10,1101200,Oct,Monthly,BC,Oct-35,,C,,C,,C,182.7,mm,181.4,mm,1.3,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1935.11,1101200,Nov,Monthly,BC,Nov-35,,C,,C,,C,147.7,mm,147.7,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1935.12,1101200,Dec,Monthly,BC,Dec-35,,C,,C,,C,207.7,mm,207.7,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1936.01,1101200,Jan,Monthly,BC,Jan-36,,C,,C,,C,260.4,mm,260.1,mm,0.3,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1936.02,1101200,Feb,Monthly,BC,Feb-36,,C,,C,,C,162.4,mm,107.5,mm,54.9,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1936.03,1101200,Mar,Monthly,BC,Mar-36,,C,,C,,C,204.4,mm,189.2,mm,15.2,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1936.04,1101200,Apr,Monthly,BC,Apr-36,,C,,C,,C,114.1,mm,113.8,mm,0.3,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1936.05,1101200,May,Monthly,BC,May-36,,C,,C,,C,145.7,mm,145.7,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1936.06,1101200,Jun,Monthly,BC,Jun-36,,C,,C,,C,95.5,mm,95.5,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1936.07,1101200,Jul,Monthly,BC,Jul-36,,C,,C,,C,49.8,mm,49.8,mm,0,mm,,hPa,,hPa,,kph
-122.8769,49.2517,49.2517,-122.8769,1101200.1936.08,1101200,Aug,Monthly,BC,Aug-36,,C,,C,,C,54.5,mm,54.5,mm,0,mm,,hPa,,hPa,,kph
